Week,Deaths,Vaccinations,,,,,,,,,
1,219,781164,,,,,,,,,
2,440,1619380,,,,,,,,,
3,660,1965804,,,,,,,,,
4,670,1845999,,,,,,,,,
5,581,1582656,,,,,,,,,
6,436,1391902,,,,,,,,,
7,324,1098157,,,,,,,,,
8,242,856661,,,,,,,,,
9,151,657445,,,,,,,,,
10,140,518043,,,,,,,,,
11,139,561232,,,,,,,,,
12,149,545668,,,,,,,,,
13,200,459325,,,,,,,,,
14,198,338265,,,,,,,,,
15,250,390097,,,,,,,,,
16,315,229534,,,,,,,,,
17,295,275870,,,,,,,,,
18,315,277309,,,,,,,,,
19,339,303609,,,,,,,,,
20,317,340643,,,,,,,,,
21,344,449087,,,,,,,,,
22,375,362756,,,,,,,,,
23,331,296758,,,,,,,,,
24,344,244089,,,,,,,,,
25,324,242144,,,,,,,,,
26,344,215007,,,,,,,,,
27,400,196467,,,,,,,,,
28,451,400855,,,,,,,,,
29,607,625560,,,,,,,,,
30,618,547149,,,,,,,,,
31,603,394267,,,,,,,,,
32,526,265357,,,,,,,,,
33,375,188264,,,,,,,,,
34,329,141855,,,,,,,,,
35,240,56258,,,,,,,,,
36,214,16849,,,,,,,,,
37,184,16849,,,,,,,,,
38,147,16849,,,,,,,,,
39,113,16849,,,,,,,,,
40,102,16849,,,,,,,,,
41,74,16849,,,,,,,,,
42,103,16849,,,,,,,,,
43,85,16849,,,,,,,,,
44,111,17656,,,,,,,,,
45,116,45107,,,,,,,,,
46,154,83330,,,,,,,,,
47,178,80622,,,,,,,,,
48,259,59926,,,,,,,,,
49,272,47766,,,,,,,,,
50,299,43640,,,,,,,,,
51,334,36950,,,,,,,,,
52,"1,094",22503,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
