Week,Deaths,Vaccinations
1,0,14667
2,0,20605
3,0,20319
4,0,14934
5,1161,28194
6,96,204516
7,89,253498
8,90,253498
9,78,253498
10,78,253498
11,88,253498
12,93,252109
13,103,206268
14,123,185430
15,131,185430
16,146,185430
17,155,185430
18,173,185430
19,173,185430
20,170,185430
21,213,185430
22,232,185430
23,226,185430
24,183,185430
25,59,185430
26,0,185430
27,0,177647
28,-76,84252
29,85,58310
30,60,58310
31,67,56853
32,0,39388
33,56,34538
34,53,34538
35,39,34538
36,40,34221
37,38,30432
38,37,29379
39,33,29379
40,78,31224
41,45,53359
42,52,59507
43,72,59507
44,51,59507
45,0,59507
46,204,59507
47,89,59507
48,152,42505
49,172,0
50,92,0
51,64,0
52,71,0
